A,B,phi,support_AB,q_value
AMX/AMP,AMC,0.24311354834968252,0.394490801246607,0.0
AMX/AMP,CZ,0.23824424794153076,0.386548708153212,0.0
AMX/AMP,FOX,0.2345281620600017,0.38815723333668445,0.0
AMX/AMP,CTX/CRO,0.2478350086089513,0.3920780134713984,0.0
AMX/AMP,IPM,0.24810297931447567,0.390469488287926,0.0
AMX/AMP,GEN,0.026069068705136776,0.11651754297778225,0.011881125936373877
AMX/AMP,AN,0.025432169251140134,0.11480848497034282,0.013997104157861125
AMX/AMP,Acide nalidixique,0.07075129653305266,0.09208806675379512,3.901661602496817e-12
AMX/AMP,ofx,0.07951027200697622,0.09309339499346536,1.0597583416876494e-14
AMX/AMP,CIP,0.08612157914945363,0.09832110183975068,0.0
AMX/AMP,C,0.07394980530779359,0.0923896652256962,5.550398850206669e-13
AMX/AMP,Co-trimoxazole,0.09668184028193824,0.09822056901578366,0.0
AMX/AMP,Furanes,0.07261291256201949,0.0884688850909822,1.2545820238541194e-12
AMX/AMP,colistine,0.06713605049731176,0.0884688850909822,4.416372496465596e-11
AMC,CZ,0.23253098383175488,0.3907710867598271,0.0
AMC,FOX,0.22943069496630725,0.39258067759123355,0.0
AMC,CTX/CRO,0.24603250118468606,0.39730572031768374,0.0
AMC,IPM,0.22291321722711385,0.38996682416809086,0.0
AMC,GEN,0.008824121841696701,0.1151100834422439,0.4017798681658006
AMC,AN,0.03830505553094968,0.11923192922489192,0.00019708525388383944
AMC,Acide nalidixique,0.061517435120322136,0.09188700110586107,1.6214794355691579e-09
AMC,ofx,0.07210154845999323,0.0931939278174324,1.687983086640088e-12
AMC,CIP,0.07212576329648852,0.09731577360008042,1.687983086640088e-12
AMC,C,0.07181556840556284,0.09339499346536644,2.0286617913989063e-12
AMC,Co-trimoxazole,0.07342687811580645,0.095606715592641,7.945206992321374e-13
AMC,Furanes,0.0713962778433173,0.08957474615461948,2.6157485268705405e-12
AMC,colistine,0.07418907037956846,0.09098220569015783,4.795053243356051e-13
CZ,FOX,0.2403619181296427,0.3884588318085855,0.0
CZ,CTX/CRO,0.23557356466293786,0.38795616768875035,0.0
CZ,IPM,0.2255538748305422,0.38383432190610234,0.0
CZ,GEN,0.01880146633546847,0.11470795214637579,0.06860292686790907
CZ,AN,0.011900534558369561,0.11179250025133206,0.25467240527283436
CZ,Acide nalidixique,0.06882365243383572,0.09148486980999296,1.43380545531662e-11
CZ,ofx,0.055213969996616215,0.08866995073891626,6.733398543413178e-08
CZ,CIP,0.08082333645714783,0.09711470795214637,3.885780586188048e-15
CZ,C,0.0702509550307197,0.09148486980999296,5.460844542517165e-12
CZ,Co-trimoxazole,0.08721938585929163,0.09631044536041017,0.0
CZ,Furanes,0.07595586277987074,0.08877048356288328,1.3405943022348765e-13
CZ,colistine,0.07763214168169678,0.08997687745048759,4.2743586448068527e-14
FOX,CTX/CRO,0.23383976878842982,0.3900673569920579,0.0
FOX,IPM,0.23086008508156414,0.3876545692168493,0.0
FOX,GEN,0.03388068219289803,0.11852819945712276,0.0010048139932132038
FOX,AN,0.03487173284682902,0.1171207399215844,0.0007074490044977954
FOX,Acide nalidixique,0.07169704165237933,0.09259073087363023,2.158828671383617e-12
FOX,ofx,0.06634202018940547,0.09118327133809188,7.421870810239065e-11
FOX,CIP,0.06792040688313083,0.09550618276867397,2.6303392797188962e-11
FOX,C,0.07314031836328708,0.09259073087363023,8.986145161316017e-13
FOX,Co-trimoxazole,0.07487171121557006,0.0948024530009048,2.96257271588337e-13
FOX,Furanes,0.07007839286440237,0.08836835226701518,6.045546008248692e-12
