Species_std,Antibiotic,n_tested,n_R,pct_R,ci_low,ci_up
Escherichia coli,AMX/AMP,6083,4203,69.09,67.92,70.24
Escherichia coli,AMC,6083,4218,69.34,68.17,70.49
Escherichia coli,CZ,6083,4156,68.32,67.14,69.48
Escherichia coli,FOX,6083,4196,68.98,67.8,70.13
Escherichia coli,CTX/CRO,6083,4192,68.91,67.74,70.06
Escherichia coli,IPM,6083,4219,69.36,68.19,70.5
Escherichia coli,GEN,6083,1122,18.44,17.49,19.44
Escherichia coli,AN,6083,1095,18.0,17.06,18.99
Escherichia coli,Acide nalidixique,6083,1089,17.9,16.96,18.89
Escherichia coli,ofx,6083,1055,17.34,16.41,18.32
Escherichia coli,CIP,6083,1119,18.4,17.44,19.39
Escherichia coli,C,6083,1123,18.46,17.51,19.46
Escherichia coli,Co-trimoxazole,6083,1150,18.91,17.94,19.91
Escherichia coli,Furanes,6083,1068,17.56,16.62,18.53
Escherichia coli,colistine,6083,1074,17.66,16.72,18.63
Enterobacter spp.,AMX/AMP,997,404,40.52,37.52,43.6
Enterobacter spp.,AMC,997,419,42.03,39.0,45.11
Enterobacter spp.,CZ,997,414,41.52,38.5,44.61
Enterobacter spp.,FOX,997,396,39.72,36.73,42.79
Enterobacter spp.,CTX/CRO,997,395,39.62,36.63,42.69
Enterobacter spp.,IPM,997,409,41.02,38.01,44.11
Enterobacter spp.,GEN,997,177,17.75,15.51,20.25
Enterobacter spp.,AN,997,169,16.95,14.75,19.41
Enterobacter spp.,Acide nalidixique,997,64,6.42,5.06,8.11
Enterobacter spp.,ofx,997,68,6.82,5.42,8.56
Enterobacter spp.,CIP,997,72,7.22,5.77,9.0
Enterobacter spp.,C,997,70,7.02,5.59,8.78
Enterobacter spp.,Co-trimoxazole,997,66,6.62,5.24,8.34
Enterobacter spp.,Furanes,997,54,5.42,4.17,7.0
Enterobacter spp.,colistine,997,61,6.12,4.79,7.78
Proteus mirabilis,AMX/AMP,742,249,33.56,30.25,37.03
Proteus mirabilis,AMC,742,278,37.47,34.06,41.01
Proteus mirabilis,CZ,742,260,35.04,31.69,38.54
Proteus mirabilis,FOX,742,281,37.87,34.45,41.41
Proteus mirabilis,CTX/CRO,742,259,34.91,31.56,38.41
Proteus mirabilis,IPM,742,248,33.42,30.12,36.9
Proteus mirabilis,GEN,742,146,19.68,16.98,22.69
Proteus mirabilis,AN,742,133,17.92,15.33,20.85
Proteus mirabilis,Acide nalidixique,742,95,12.8,10.59,15.4
Proteus mirabilis,ofx,742,88,11.86,9.73,14.38
Proteus mirabilis,CIP,742,92,12.4,10.22,14.97
Proteus mirabilis,C,742,56,7.55,5.86,9.67
Proteus mirabilis,Co-trimoxazole,742,41,5.53,4.1,7.41
Proteus mirabilis,Furanes,742,41,5.53,4.1,7.41
Proteus mirabilis,colistine,742,42,5.66,4.21,7.56
Klebsiella pneumoniae,AMX/AMP,702,403,57.41,53.72,61.02
Klebsiella pneumoniae,AMC,702,398,56.7,53.0,60.31
Klebsiella pneumoniae,CZ,702,383,54.56,50.86,58.21
Klebsiella pneumoniae,FOX,702,399,56.84,53.15,60.45
Klebsiella pneumoniae,CTX/CRO,702,419,59.69,56.01,63.25
Klebsiella pneumoniae,IPM,702,390,55.56,51.86,59.19
Klebsiella pneumoniae,GEN,702,202,28.77,25.55,32.23
Klebsiella pneumoniae,AN,702,204,29.06,25.82,32.53
Klebsiella pneumoniae,Acide nalidixique,702,32,4.56,3.25,6.36
Klebsiella pneumoniae,ofx,702,43,6.13,4.58,8.15
Klebsiella pneumoniae,CIP,702,55,7.83,6.07,10.06
Klebsiella pneumoniae,C,702,49,6.98,5.32,9.11
Klebsiella pneumoniae,Co-trimoxazole,702,36,5.13,3.73,7.02
Klebsiella pneumoniae,Furanes,702,46,6.55,4.95,8.63
Klebsiella pneumoniae,colistine,702,34,4.84,3.49,6.69
Citrobacter spp.,AMX/AMP,481,221,45.95,41.54,50.41
Citrobacter spp.,AMC,481,226,46.99,42.57,51.45
Citrobacter spp.,CZ,481,226,46.99,42.57,51.45
Citrobacter spp.,FOX,481,221,45.95,41.54,50.41
Citrobacter spp.,CTX/CRO,481,211,43.87,39.5,48.33
Citrobacter spp.,IPM,481,213,44.28,39.91,48.75
Citrobacter spp.,GEN,481,73,15.18,12.25,18.66
Citrobacter spp.,AN,481,78,16.22,13.19,19.78
Citrobacter spp.,Acide nalidixique,481,26,5.41,3.72,7.8
Citrobacter spp.,ofx,481,24,4.99,3.38,7.32
Citrobacter spp.,CIP,481,28,5.82,4.06,8.28
Citrobacter spp.,C,481,22,4.57,3.04,6.83
Citrobacter spp.,Co-trimoxazole,481,43,8.94,6.7,11.83
Citrobacter spp.,Furanes,481,39,8.11,5.99,10.89
Citrobacter spp.,colistine,481,31,6.44,4.58,9.0
Morganella morganii,AMX/AMP,305,61,20.0,15.9,24.85
