Species_std,Antibiotic,n_tested,n_R,pct_R,ci_low,ci_up,n_tested_exclI,n_R_exclI,pct_R_exclI,ci_low_exclI,ci_up_exclI,diff_pct_R
Escherichia coli,AMX/AMP,6083,4203,69.09,67.92,70.24,5965,4203,70.46,69.29,71.61,1.3699999999999903
Escherichia coli,AMC,6083,4218,69.34,68.17,70.49,5979,4218,70.55,69.38,71.69,1.2099999999999937
Escherichia coli,CZ,6083,4156,68.32,67.14,69.48,5975,4156,69.56,68.38,70.71,1.240000000000009
Escherichia coli,FOX,6083,4196,68.98,67.8,70.13,5970,4196,70.28,69.11,71.43,1.2999999999999972
Escherichia coli,CTX/CRO,6083,4192,68.91,67.74,70.06,5965,4192,70.28,69.1,71.42,1.3700000000000045
Escherichia coli,IPM,6083,4219,69.36,68.19,70.5,5972,4219,70.65,69.48,71.79,1.2900000000000063
Escherichia coli,GEN,6083,1122,18.44,17.49,19.44,5982,1122,18.76,17.79,19.77,0.3200000000000003
Escherichia coli,AN,6083,1095,18.0,17.06,18.99,5974,1095,18.33,17.37,19.33,0.3299999999999983
Escherichia coli,Acide nalidixique,6083,1089,17.9,16.96,18.89,5965,1089,18.26,17.3,19.26,0.360000000000003
Escherichia coli,ofx,6083,1055,17.34,16.41,18.32,5979,1055,17.65,16.7,18.63,0.3099999999999987
Escherichia coli,CIP,6083,1119,18.4,17.44,19.39,5973,1119,18.73,17.76,19.74,0.33000000000000185
Escherichia coli,C,6083,1123,18.46,17.51,19.46,5969,1123,18.81,17.84,19.83,0.34999999999999787
Escherichia coli,Co-trimoxazole,6083,1150,18.91,17.94,19.91,5966,1150,19.28,18.29,20.3,0.370000000000001
Escherichia coli,Furanes,6083,1068,17.56,16.62,18.53,5973,1068,17.88,16.93,18.87,0.3200000000000003
Escherichia coli,colistine,6083,1074,17.66,16.72,18.63,5971,1074,17.99,17.03,18.98,0.3299999999999983
Enterobacter spp.,AMX/AMP,997,404,40.52,37.52,43.6,984,404,41.06,38.02,44.16,0.5399999999999991
Enterobacter spp.,AMC,997,419,42.03,39.0,45.11,977,419,42.89,39.82,46.01,0.8599999999999994
Enterobacter spp.,CZ,997,414,41.52,38.5,44.61,976,414,42.42,39.35,45.54,0.8999999999999986
Enterobacter spp.,FOX,997,396,39.72,36.73,42.79,983,396,40.28,37.26,43.38,0.5600000000000023
Enterobacter spp.,CTX/CRO,997,395,39.62,36.63,42.69,979,395,40.35,37.32,43.45,0.730000000000004
