comuna,Componente_1,Componente_2,cluster
Altavista,-6.3741679591264075,0.8238762665445978,2
Aranjuez,-1.7723192265334997,-1.6540802700185806,2
Belen,7.127330545311876,-0.8461741343000413,1
Buenos Aires,-2.4222861653050223,0.022659992570791408,2
Castilla,-2.8944276073551376,-0.7531298401428168,2
Doce De Octubre,-4.14981678678896,-0.15456130054382705,2
El Poblado,19.33198924411954,11.8015088280464,1
Guayabal,3.2439140667765853,-4.321481943097364,0
La America,0.4662241370016184,0.3395357053397666,0
La Candelaria,18.593575444116496,-11.019824529871466,3
Laureles Estadio,11.192654347312267,1.0769309699136507,1
Manrique,-4.717674392256118,-0.056513321890351034,2
Palmitas,-6.88714274304069,0.9549705406368905,2
Popular,-5.781117476719316,0.46800012669903146,2
Robledo,-2.524329678228115,-0.27654228701505296,2
San Antonio De Prado,-5.915196099539487,0.6610274049313283,2
San Cristobal,-5.961035840453886,0.6207348362537901,2
San Javier,-4.115361376741067,-0.06290688768601657,2
Santa Cruz,-5.261958449452955,0.0645014779576959,2
Santa Elena,-6.239461539715082,1.0686258348924134,2
Sin Georreferenciar,8.74768308786882,0.9168795018445407,1
Villa Hermosa,-3.687075531251462,0.32596302893461726,2
