index,comuna,total_empresas_comuna,porcentaje_participación,densidad_relativa,año,empresas,porcentaje_participación_por_año
0,Altavista,1666,0.34208321697849764,0.017542381804780457,2018,0,0.0
0,Altavista,1666,0.34208321697849764,0.017542381804780457,2019,0,0.0
0,Altavista,1666,0.34208321697849764,0.017542381804780457,2020,0,0.0
0,Altavista,1666,0.34208321697849764,0.017542381804780457,2021,637,0.6579830804350745
0,Altavista,1666,0.34208321697849764,0.017542381804780457,2022,1029,0.9783042725941702
1,Aranjuez,18377,3.7733873219771015,0.19350321154048647,2018,3420,3.594815897074745
1,Aranjuez,18377,3.7733873219771015,0.19350321154048647,2019,3497,3.546653144016227
1,Aranjuez,18377,3.7733873219771015,0.19350321154048647,2020,3199,3.504370878338409
1,Aranjuez,18377,3.7733873219771015,0.19350321154048647,2021,3931,4.060488994019275
1,Aranjuez,18377,3.7733873219771015,0.19350321154048647,2022,4330,4.116673955619783
2,Belen,44954,9.230497560655092,0.4733494787827735,2018,7879,8.281741068143834
2,Belen,44954,9.230497560655092,0.4733494787827735,2019,8120,8.235294117647058
2,Belen,44954,9.230497560655092,0.4733494787827735,2020,7694,8.428455622987094
2,Belen,44954,9.230497560655092,0.4733494787827735,2021,11171,11.53897800869736
2,Belen,44954,9.230497560655092,0.4733494787827735,2022,10090,9.592896122910764
3,Buenos Aires,16223,3.3311020582485993,0.17082236495735495,2018,2933,3.0829225222573764
3,Buenos Aires,16223,3.3311020582485993,0.17082236495735495,2019,2989,3.0314401622718052
3,Buenos Aires,16223,3.3311020582485993,0.17082236495735495,2020,2698,2.9555463050193893
3,Buenos Aires,16223,3.3311020582485993,0.17082236495735495,2021,3626,3.745442150168886
3,Buenos Aires,16223,3.3311020582485993,0.17082236495735495,2022,3977,3.781065201270179
4,Castilla,14635,3.005034742185062,0.15410129514583554,2018,2733,2.8726993703816603
4,Castilla,14635,3.005034742185062,0.15410129514583554,2019,2809,2.8488843813387423
4,Castilla,14635,3.005034742185062,0.15410129514583554,2020,2613,2.8624323554542865
4,Castilla,14635,3.005034742185062,0.15410129514583554,2021,3084,3.1855884145396702
4,Castilla,14635,3.005034742185062,0.15410129514583554,2022,3396,3.2286893194653077
5,Doce De Octubre,10687,2.194383757412487,0.11253027271770033,2018,2030,2.133764991538518
5,Doce De Octubre,10687,2.194383757412487,0.11253027271770033,2019,2052,2.081135902636917
5,Doce De Octubre,10687,2.194383757412487,0.11253027271770033,2020,1861,2.038647766360669
5,Doce De Octubre,10687,2.194383757412487,0.11253027271770033,2021,2254,2.328247823077956
5,Doce De Octubre,10687,2.194383757412487,0.11253027271770033,2022,2490,2.367325207735164
6,El Poblado,71921,14.76768730390788,0.7573023059913657,2018,13272,13.950408358472519
6,El Poblado,71921,14.76768730390788,0.7573023059913657,2019,13749,13.94421906693712
6,El Poblado,71921,14.76768730390788,0.7573023059913657,2020,12711,13.924369563788533
6,El Poblado,71921,14.76768730390788,0.7573023059913657,2021,14858,15.347429527636322
6,El Poblado,71921,14.76768730390788,0.7573023059913657,2022,17331,16.47715388564583
7,Guayabal,25997,5.338017642130854,0.2737390754975255,2018,4742,4.984390930973228
7,Guayabal,25997,5.338017642130854,0.2737390754975255,2019,5021,5.092292089249493
7,Guayabal,25997,5.338017642130854,0.2737390754975255,2020,4531,4.963521240935083
7,Guayabal,25997,5.338017642130854,0.2737390754975255,2021,5819,6.0106806044767636
7,Guayabal,25997,5.338017642130854,0.2737390754975255,2022,5884,5.5941130611701615
8,La America,21456,4.405604743991984,0.22592397599241865,2018,4193,4.407328379074388
8,La America,21456,4.405604743991984,0.22592397599241865,2019,4278,4.338742393509127
8,La America,21456,4.405604743991984,0.22592397599241865,2020,3813,4.176982231667506
8,La America,21456,4.405604743991984,0.22592397599241865,2021,4459,4.605881563045521
8,La America,21456,4.405604743991984,0.22592397599241865,2022,4713,4.480804700424027
9,La Candelaria,94970,19.500386024278463,1.0,2018,18602,19.552855355960354
9,La Candelaria,94970,19.500386024278463,1.0,2019,19251,19.524340770791074
9,La Candelaria,94970,19.500386024278463,1.0,2020,17982,19.6985298950551
9,La Candelaria,94970,19.500386024278463,1.0,2021,18665,19.27983390317216
9,La Candelaria,94970,19.500386024278463,1.0,2022,20470,19.461504820216387
10,Laureles Estadio,52498,10.77952264401991,0.55278509002843,2018,10448,10.982057453987409
10,Laureles Estadio,52498,10.77952264401991,0.55278509002843,2019,10710,10.86206896551724
10,Laureles Estadio,52498,10.77952264401991,0.55278509002843,2020,9423,10.32250290296431
10,Laureles Estadio,52498,10.77952264401991,0.55278509002843,2021,10670,11.02147483240541
10,Laureles Estadio,52498,10.77952264401991,0.55278509002843,2022,11247,10.692894221444734
11,Manrique,9736,1.9991129654877866,0.10251658418447931,2018,1829,1.9224907239034237
11,Manrique,9736,1.9991129654877866,0.10251658418447931,2019,1851,1.8772819472616633
11,Manrique,9736,1.9991129654877866,0.10251658418447931,2020,1719,1.8830926976754376
11,Manrique,9736,1.9991129654877866,0.10251658418447931,2021,2066,2.13405501440952
11,Manrique,9736,1.9991129654877866,0.10251658418447931,2022,2271,2.1591146774162877
12,Palmitas,82,0.016837229167008888,0.0008634305570180057,2018,0,0.0
12,Palmitas,82,0.016837229167008888,0.0008634305570180057,2019,0,0.0
12,Palmitas,82,0.016837229167008888,0.0008634305570180057,2020,0,0.0
12,Palmitas,82,0.016837229167008888,0.0008634305570180057,2021,27,0.027889392734296723
12,Palmitas,82,0.016837229167008888,0.0008634305570180057,2022,55,0.05229031583350763
13,Popular,5456,1.1202917357951279,0.05744972096451511,2018,913,0.9596686883126438
13,Popular,5456,1.1202917357951279,0.05744972096451511,2019,975,0.9888438133874239
13,Popular,5456,1.1202917357951279,0.05744972096451511,2020,881,0.965098700786539
13,Popular,5456,1.1202917357951279,0.05744972096451511,2021,1271,1.312867339455227
13,Popular,5456,1.1202917357951279,0.05744972096451511,2022,1416,1.3462379494590329
14,Robledo,14549,2.9873761847660036,0.15319574602506056,2018,2489,2.6162271250932867
14,Robledo,14549,2.9873761847660036,0.15319574602506056,2019,2595,2.63184584178499
14,Robledo,14549,2.9873761847660036,0.15319574602506056,2020,2781,3.0464693381241372
