comuna,ubicación
La Candelaria,"6.244384568773229, -75.5649287767632"
El Poblado,"6.197582927841884, -75.5542477021643"
Laureles Estadio,"6.254969935531285, -75.59693735863718"
Sin Georreferenciar,""
Belen,"6.2189789798144055, -75.60882175015655"
Guayabal,"6.205710949905074, -75.59298051065244"
La America,"6.261715027009674, -75.60556686657311"
Aranjuez,"6.283663079054007, -75.55881111435004"
Buenos Aires,"6.229320155953701, -75.54295428085523"
Castilla,"6.294420019759839, -75.57001468155475"
Robledo,"6.282372244236314, -75.59959964855695"
Villa Hermosa,"6.24420341738737, -75.53791105649405"
Doce De Octubre,"6.301741987544566, -75.58390270996266"
San Javier,"6.261165911353652, -75.61587681470756"
Manrique,"6.27396207979008, -75.53937674153528"
Santa Cruz,"6.297073347274898, -75.55341703591"
Popular,"6.291857257363438, -75.54210840240478"
San Antonio De Prado,"6.1961067627700155, -75.66930022970591"
San Cristobal,"6.283337876400774, -75.61044242224996"
Santa Elena,"6.2405507676879175, -75.53310862513078"
Altavista,"6.224053575792848, -75.61459630412013"
Palmitas,"6.335893536422669, -75.69537645139245"
