comuna_ordenada,participación_acumulada
inicio,0.0
La Candelaria,0.00016837229167008887
El Poblado,0.003589204461455065
Laureles Estadio,0.007716378928002365
Sin Georreferenciar,0.013457463409826372
Belen,0.020837097754488557
Guayabal,0.03204001511243984
La America,0.04567817073771704
Aranjuez,0.0656693003925949
Buenos Aires,0.08601360119585394
Castilla,0.1079574387699788
Robledo,0.13180881120948798
Villa Hermosa,0.16168257305714803
Doce De Octubre,0.19173292047899865
San Javier,0.22504394106148462
Manrique,0.26277781428125563
Santa Cruz,0.3068338617211755
Popular,0.36021403814248404
San Antonio De Prado,0.4525190137490349
San Cristobal,0.5495240402779374
Santa Elena,0.6573192667181366
Altavista,0.8049961397572154
Palmitas,1.0
