"AÑO","CIIU","Descripción","ALTAVISTA","ARANJUEZ","BELEN","BUENOS AIRES","CASTILLA","DOCE DE OCTUBRE","EL POBLADO","GUAYABAL","LA AMERICA","LA CANDELARIA","LAURELES-ESTADIO","MANRIQUE","PALMITAS","POPULAR","ROBLEDO","SAN ANTONIO DE PRADO","SAN CRISTOBAL","SAN JAVIER","SANTA CRUZ","SANTA ELENA","VILLA HERMOSA","Sin georreferenciar"
"2018","0","Sin CIIU","0","2","4","1","0","0","19","2","4","20","6","2","0","0","2","0","0","1","1","0","2","3,027"
"2018","111","Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas","0","0","1","0","0","0","3","1","0","0","0","0","0","0","1","0","0","1","0","0","0","3"
"2018","112","Cultivo de arroz","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018","113","Cultivo de hortalizas, raíces y tubérculos","0","1","9","0","0","0","9","7","0","3","2","0","0","0","0","0","0","0","0","0","0","14"
"2018","115","Cultivo de plantas textiles","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"2018","119","Otros cultivos transitorios n.c.p.","0","0","3","0","0","0","12","0","1","1","4","0","0","0","0","0","0","0","0","0","0","3"
"2018","121","Cultivo de frutas tropicales y subtropicales","0","1","3","1","0","0","61","4","2","7","10","1","0","0","1","0","0","0","0","0","0","20"
"2018","122","Cultivo de plátano y banano","0","0","5","0","0","0","88","0","0","23","7","0","0","0","0","0","0","0","0","0","0","5"
"2018","123","Cultivo de café","0","0","5","1","0","0","12","1","0","6","3","0","0","0","1","0","0","0","0","0","0","11"
"2018","124","Cultivo de caña de azúcar","0","0","1","0","0","0","2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","4"
"2018","125","Cultivo de flor de corte","0","0","6","1","0","0","24","1","0","1","1","1","0","0","0","0","0","0","0","0","1","10"
"2018","126","Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos","0","1","1","0","0","0","14","2","1","2","1","0","0","0","1","0","0","0","0","0","1","3"
