comuna,total_empresas,porcentaje_ciudad
La Candelaria,94970,19.500386024278463
El Poblado,71921,14.76768730390788
Laureles Estadio,52498,10.77952264401991
Sin Georreferenciar,47243,9.700502652890254
Belen,44954,9.230497560655092
Guayabal,25997,5.338017642130854
La America,21456,4.405604743991984
Aranjuez,18377,3.7733873219771015
Buenos Aires,16223,3.3311020582485993
Castilla,14635,3.005034742185062
Robledo,14549,2.9873761847660036
Villa Hermosa,11616,2.3851372439509175
Doce De Octubre,10687,2.194383757412487
San Javier,9908,2.0344300803259032
Manrique,9736,1.9991129654877866
Santa Cruz,6642,1.36381556252772
Popular,5456,1.1202917357951279
San Antonio De Prado,3594,0.7379634344662188
San Cristobal,2796,0.5741084481824006
Santa Elena,2010,0.41271744665473
Altavista,1666,0.34208321697849764
Palmitas,82,0.016837229167008888
