división,descripción división,total_empresas,porcentaje_municipal
47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",120466,24.926183189838007
56,Actividades de servicios de comidas y bebidas,39384,8.149127544274567
46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",27331,5.655184971373354
68,Actividades inmobiliarias,19077,3.9473112472609673
45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",18726,3.874684196477898
70,Actividades de administración empresarial; actividades de consultoría de gestión,15462,3.199314698597739
96,Otras actividades de servicios personales,15255,3.1564833609564427
10,Elaboración de productos alimenticios,13462,2.785485349406465
43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,13436,2.780105567866979
14,Confección de prendas de vestir,12034,2.4900111940838956
82,Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,10808,2.2363338030296447
62,"Desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas), consultoría informática y actividades relacionadas",9480,1.9615511151666387
01,"Agricultura, ganadería, caza y actividades de servicios conexas ",9243,1.9125123372874728
41,Construcción de edificios,9045,1.8715432317175367
86,Actividades de atención de la salud humana,8610,1.7815353482684346
74,"Otras actividades profesionales, científicas y técnicas",8242,1.70539074801724
42,Obras de ingeniería civil,7524,1.5568260116575727
66,Actividades auxiliares de las actividades de servicios financieros,7247,1.4995106467945813
69,Actividades jurídicas y de contabilidad,7059,1.4606106879706016
73,Publicidad y estudios de mercado,6079,1.2578343068668774
55,Alojamiento,6020,1.2456263410657347
49,Transporte terrestre; transporte por tuberías,5952,1.2315561431932314
71,Actividades de arquitectura e ingeniería; ensayos y análisis técnicos,5112,1.0577478165328964
33,"Instalación, mantenimiento y reparación especializado de maquinaria y equipo",4604,0.9526351618383126
85,Educación,4409,0.9122868002921635
79,"Actividades de las agencias de viajes, operadores turísticos, servicios de reserva y actividades relacionadas",4219,0.8729730121189925
25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",4174,0.8636618517621888
95,"Mantenimiento y reparación de computadores, efectos personales y enseres domésticos",4151,0.8589028142464893
18,Actividades de impresión y de producción de copias a partir de grabaciones originales ,4074,0.8429703843026252
32,Otras industrias manufactureras,3957,0.8187613673749357
52,Almacenamiento y actividades complementarias al transporte,3814,0.7891725689077596
13,Fabricación de productos textiles,3804,0.7871034221618032
77,Actividades de alquiler y arrendamiento,3097,0.6408147472226877
31,"Fabricación de muebles, colchones y somieres",2894,0.5988110682797735
90,"Actividades creativas, artísticas y de entretenimiento",2772,0.5735674779791058
