división,empresas
47,120466
56,39384
46,27331
68,19077
45,18726
70,15462
96,15255
10,13462
43,13436
14,12034
82,10808
62,9480
01,9243
41,9045
86,8610
74,8242
42,7524
66,7247
69,7059
73,6079
55,6020
49,5952
71,5112
33,4604
85,4409
79,4219
25,4174
95,4151
18,4074
32,3957
52,3814
13,3804
77,3097
31,2894
90,2772
15,2550
93,2379
92,2363
61,2297
81,2096
64,2091
20,2056
63,1995
22,1885
16,1861
53,1701
38,1460
59,1434
28,1176
07,1164
80,1109
58,1072
75,1024
23,868
35,747
78,741
02,645
72,611
24,559
11,507
27,506
87,503
29,494
21,464
17,451
65,416
08,398
26,317
09,302
60,245
84,219
51,218
94,198
03,174
39,165
36,146
30,127
05,86
19,80
91,79
37,78
88,66
98,54
50,52
97,27
12,11
99,1
