comuna,año,level_2,empresas
Altavista,2021,1416,3
Altavista,2021,1452,6
Altavista,2021,1462,6
Altavista,2021,1466,4
Altavista,2021,1475,3
Altavista,2021,1480,15
Altavista,2021,1486,4
Altavista,2021,1519,9
Altavista,2021,1530,6
Altavista,2021,1577,7
Altavista,2021,1586,5
Altavista,2021,1606,7
Altavista,2021,1610,11
Altavista,2021,1614,6
Altavista,2021,1616,11
Altavista,2021,1617,7
Altavista,2021,1619,4
Altavista,2021,1620,12
Altavista,2021,1626,4
Altavista,2021,1637,3
Altavista,2021,1640,3
Altavista,2021,1644,5
Altavista,2021,1645,35
Altavista,2021,1646,11
Altavista,2021,1647,4
Altavista,2021,1649,6
Altavista,2021,1651,5
Altavista,2021,1654,9
Altavista,2021,1657,11
Altavista,2021,1661,6
Altavista,2021,1662,7
Altavista,2021,1665,7
Altavista,2021,1666,4
Altavista,2021,1667,19
Altavista,2021,1668,4
Altavista,2021,1673,11
Altavista,2021,1675,9
Altavista,2021,1680,11
Altavista,2021,1697,5
Altavista,2021,1706,13
Altavista,2021,1709,8
Altavista,2021,1710,3
Altavista,2021,1712,12
Altavista,2021,1728,4
Altavista,2021,1729,10
Altavista,2021,1730,4
Altavista,2021,1731,3
Altavista,2021,1757,3
Altavista,2021,1761,7
Altavista,2021,1764,34
Altavista,2021,1765,5
Altavista,2021,1766,3
Altavista,2021,1769,12
Altavista,2021,1772,6
Altavista,2021,1776,8
Altavista,2021,1780,6
Altavista,2021,1786,3
Altavista,2021,1791,6
Altavista,2021,1792,3
Altavista,2021,1807,13
Altavista,2021,1835,3
Altavista,2021,1848,3
Altavista,2021,1856,4
Altavista,2021,1875,14
Altavista,2021,1877,4
Altavista,2022,1941,10
Altavista,2022,1959,18
Altavista,2022,1997,9
Altavista,2022,2008,6
Altavista,2022,2056,9
Altavista,2022,2065,7
Altavista,2022,2085,24
Altavista,2022,2089,17
Altavista,2022,2092,6
Altavista,2022,2095,15
Altavista,2022,2096,9
Altavista,2022,2099,13
Altavista,2022,2103,6
Altavista,2022,2105,6
Altavista,2022,2122,6
Altavista,2022,2123,16
Altavista,2022,2124,50
Altavista,2022,2125,12
Altavista,2022,2128,8
Altavista,2022,2130,6
Altavista,2022,2136,10
Altavista,2022,2140,15
Altavista,2022,2141,6
Altavista,2022,2144,16
Altavista,2022,2146,22
Altavista,2022,2152,16
Altavista,2022,2154,16
Altavista,2022,2157,7
Altavista,2022,2159,10
Altavista,2022,2183,23
Altavista,2022,2186,10
Altavista,2022,2187,6
Altavista,2022,2189,27
Altavista,2022,2206,13
Altavista,2022,2207,8
Altavista,2022,2234,13
Altavista,2022,2237,58
Altavista,2022,2238,12
Altavista,2022,2239,12
Altavista,2022,2240,8
Altavista,2022,2241,21
Altavista,2022,2242,26
Altavista,2022,2244,15
Altavista,2022,2248,15
Altavista,2022,2250,6
Altavista,2022,2252,13
Altavista,2022,2263,8
Altavista,2022,2279,25
Altavista,2022,2302,6
Altavista,2022,2305,6
Altavista,2022,2325,6
Altavista,2022,2343,15
Aranjuez,2018,2406,69
Aranjuez,2018,2410,15
Aranjuez,2018,2425,94
Aranjuez,2018,2431,15
Aranjuez,2018,2436,17
Aranjuez,2018,2442,17
Aranjuez,2018,2461,13
Aranjuez,2018,2475,31
Aranjuez,2018,2522,37
Aranjuez,2018,2529,14
Aranjuez,2018,2531,14
Aranjuez,2018,2548,42
Aranjuez,2018,2550,44
Aranjuez,2018,2554,19
Aranjuez,2018,2557,23
Aranjuez,2018,2558,13
Aranjuez,2018,2560,58
Aranjuez,2018,2561,25
Aranjuez,2018,2564,101
