comuna,media,mediana,moda,desviacion_estandar,coef_variacion,rango_intercuartilico
Altavista,0.7092379736057897,0.0,0,3.0122131817183644,4.247112103155124,0.0
Aranjuez,7.823329076202639,1.0,0,23.79757121844998,3.0418727100255225,5.0
Belen,19.137505321413368,3.0,0,44.36129439366703,2.3180291082155953,15.0
Buenos Aires,6.9063431247339295,1.0,0,20.089041520677974,2.9087812693134785,5.0
Castilla,6.2303107705406555,1.0,0,17.717189627407052,2.8437088100293235,5.0
Doce De Octubre,4.549595572584078,0.0,0,17.447529907667704,3.8349628289614848,3.0
El Poblado,30.617709663686675,6.0,0,72.9828125646431,2.3836796862438865,23.0
Guayabal,11.067262664963815,3.0,0,25.797083387192174,2.330936218660402,9.0
La America,9.134099616858238,2.0,0,21.1753726027196,2.3182769502138476,8.0
La Candelaria,40.429970200085144,6.0,0,99.21486442499251,2.4539930139444808,29.0
Laureles Estadio,22.34908471690081,5.0,0,50.08257980631866,2.2409230821182247,18.0
Manrique,4.144742443593018,0.0,0,16.568925621143997,3.9975766520200593,2.0
Palmitas,0.034908471690080885,0.0,0,0.36402158502176823,10.427886624586995,0.0
Popular,2.3226905065985526,0.0,0,10.579531694936028,4.554860694905559,1.0
Robledo,6.19369944657301,1.0,0,17.55520456459733,2.834364940699645,4.0
San Antonio De Prado,1.5300127713920817,0.0,0,7.571047191706914,4.948355551841832,0.0
San Cristobal,1.1902937420178799,0.0,0,5.323277396403667,4.472238413502222,0.0
San Javier,4.21796509152831,0.0,0,13.922185821126048,3.3006877769302667,3.0
Santa Cruz,2.8275862068965516,0.0,0,10.950818744794512,3.872850531695621,1.0
Santa Elena,0.855683269476373,0.0,0,5.153523654721624,6.022700032309004,0.0
Sin Georreferenciar,20.111962537249894,2.0,0,64.36269127410925,3.2002193299088244,11.0
Villa Hermosa,4.945083014048532,1.0,0,15.660662582296114,3.1669160128971754,3.0
