comuna,01,02,03,05,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99
Altavista,33,3,1,0,0,4,1,46,2,0,15,33,15,7,1,4,1,9,0,3,23,2,16,0,2,1,0,0,16,8,18,2,0,0,7,0,32,29,65,46,86,373,29,0,1,5,6,14,113,2,10,0,11,42,3,6,0,29,109,24,61,1,1,23,30,3,9,2,22,5,15,51,0,14,19,0,0,12,0,10,7,0,6,38,0,0,0
Aranjuez,106,11,3,2,5,3,4,670,18,0,116,498,147,118,21,108,3,91,4,162,58,10,231,22,23,45,20,3,247,143,163,7,0,1,206,16,244,145,563,995,587,6081,246,1,0,164,64,136,2468,20,18,3,81,243,34,12,4,60,162,75,110,68,12,117,123,55,90,10,105,26,76,295,2,105,149,4,2,70,6,171,105,3,174,757,0,0,0
Belen,690,34,18,8,47,27,34,1391,37,0,343,1525,174,141,31,350,2,157,45,119,86,27,260,53,57,65,23,24,306,345,447,47,7,9,64,11,745,801,1304,1483,2516,10522,507,2,21,242,197,285,3215,120,178,16,231,1053,203,80,61,768,2102,604,1323,614,53,676,730,147,337,64,412,131,191,935,17,481,853,54,7,322,8,209,249,18,392,1812,1,2,0
Buenos Aires,127,13,4,0,28,12,6,587,6,0,139,411,122,66,14,39,0,46,3,54,13,1,144,9,12,12,3,0,94,125,159,15,2,0,45,2,336,239,629,511,511,4959,183,0,3,135,97,62,1620,21,36,5,72,300,49,26,16,186,517,143,342,119,26,194,189,43,93,12,148,47,88,351,9,151,157,21,1,109,2,86,96,8,120,722,2,6,0
Castilla,129,9,4,3,7,6,0,653,7,0,155,477,96,56,3,61,5,65,0,51,21,27,221,1,5,93,25,2,91,81,220,4,12,1,47,11,173,182,482,839,519,4556,351,0,5,147,97,146,1558,8,22,0,73,146,27,14,12,99,257,69,159,83,16,109,133,46,65,8,82,35,51,240,1,115,124,2,0,62,0,105,64,2,144,512,0,0,0
Doce De Octubre,30,4,0,0,7,0,0,443,4,0,116,356,100,46,0,44,0,28,11,26,6,12,121,4,7,22,3,0,77,95,145,3,6,3,41,10,263,185,523,309,270,4388,81,0,0,27,79,1,942,10,16,4,63,66,24,2,3,43,54,48,78,21,9,53,84,18,36,9,74,33,41,198,1,60,27,1,1,40,1,132,82,0,109,384,2,0,0
El Poblado,3854,200,32,35,517,154,111,1395,105,0,236,1072,161,110,52,261,17,227,139,80,86,47,164,24,70,106,27,18,127,411,258,427,15,10,54,32,1982,1348,1143,1885,4661,7359,625,30,47,519,89,1499,4511,320,400,44,160,3010,447,1048,100,2377,1694,2255,6057,1227,197,1199,2965,103,680,176,830,100,192,2782,41,745,2609,27,10,511,23,95,360,46,284,1502,2,15,1
Guayabal,353,30,5,0,54,12,12,1022,64,4,535,1489,189,165,49,314,13,299,33,491,77,91,768,25,96,272,96,21,253,287,492,39,4,9,104,5,219,348,620,910,2301,4493,598,0,34,204,104,117,1605,35,43,7,95,445,109,85,15,175,1237,143,646,267,15,302,424,53,297,32,185,48,69,498,16,115,157,3,0,124,0,46,69,7,149,575,0,1,0
La America,213,27,5,4,24,10,9,620,29,0,172,748,77,70,24,174,8,107,23,82,15,8,137,22,33,26,19,2,117,181,202,7,15,9,46,9,365,390,642,660,1144,5409,334,2,0,111,67,115,1463,32,103,7,100,458,184,30,13,274,701,290,539,311,38,359,333,100,180,35,182,83,140,429,14,280,360,45,9,235,5,62,115,7,183,1022,0,2,0
La Candelaria,983,83,35,9,92,23,25,1802,55,0,980,943,738,473,121,1865,16,267,73,378,164,164,1018,82,112,268,157,29,663,1182,994,57,6,11,345,11,999,865,1229,6376,7124,28727,861,8,18,1314,236,1804,7762,164,151,17,517,609,195,325,77,869,4397,1486,1803,445,48,1119,792,91,452,171,671,133,295,1620,57,655,1559,60,9,218,3,466,157,50,1189,2145,4,11,0
