año,comuna,división,descripción división,empresas
2022,Villa Hermosa,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",890
2022,Villa Hermosa,56,Actividades de servicios de comidas y bebidas,250
2022,Villa Hermosa,68,Actividades inmobiliarias,152
2022,Villa Hermosa,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,148
2022,Villa Hermosa,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",114
2022,Sin Georreferenciar,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",175
2022,Sin Georreferenciar,68,Actividades inmobiliarias,109
2022,Sin Georreferenciar,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",69
2022,Sin Georreferenciar,70,Actividades de administración empresarial; actividades de consultoría de gestión,65
2022,Sin Georreferenciar,56,Actividades de servicios de comidas y bebidas,52
2022,Santa Elena,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",215
2022,Santa Elena,68,Actividades inmobiliarias,197
2022,Santa Elena,56,Actividades de servicios de comidas y bebidas,107
2022,Santa Elena,70,Actividades de administración empresarial; actividades de consultoría de gestión,87
2022,Santa Elena,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",60
2022,Santa Cruz,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",642
2022,Santa Cruz,56,Actividades de servicios de comidas y bebidas,182
2022,Santa Cruz,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,90
2022,Santa Cruz,10,Elaboración de productos alimenticios,57
2022,Santa Cruz,96,Otras actividades de servicios personales,56
2022,San Javier,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",836
2022,San Javier,56,Actividades de servicios de comidas y bebidas,226
2022,San Javier,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,124
2022,San Javier,96,Otras actividades de servicios personales,94
2022,San Javier,14,Confección de prendas de vestir,93
2022,San Cristobal,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",406
2022,San Cristobal,56,Actividades de servicios de comidas y bebidas,130
2022,San Cristobal,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,61
2022,San Cristobal,96,Otras actividades de servicios personales,50
2022,San Cristobal,10,Elaboración de productos alimenticios,47
2022,San Antonio De Prado,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",604
2022,San Antonio De Prado,56,Actividades de servicios de comidas y bebidas,170
2022,San Antonio De Prado,96,Otras actividades de servicios personales,86
2022,San Antonio De Prado,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",80
2022,San Antonio De Prado,10,Elaboración de productos alimenticios,64
2022,Robledo,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1061
2022,Robledo,56,Actividades de servicios de comidas y bebidas,301
2022,Robledo,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,167
2022,Robledo,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",153
2022,Robledo,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",130
2022,Popular,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",591
2022,Popular,56,Actividades de servicios de comidas y bebidas,170
2022,Popular,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,82
2022,Popular,96,Otras actividades de servicios personales,57
2022,Popular,10,Elaboración de productos alimenticios,49
2022,Palmitas,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",19
2022,Palmitas,56,Actividades de servicios de comidas y bebidas,12
2022,Palmitas,10,Elaboración de productos alimenticios,4
2022,Palmitas,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",3
2022,Palmitas,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",2
2022,Manrique,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",882
2022,Manrique,56,Actividades de servicios de comidas y bebidas,258
2022,Manrique,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,117
2022,Manrique,96,Otras actividades de servicios personales,100
2022,Manrique,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",64
2022,Laureles Estadio,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1996
2022,Laureles Estadio,56,Actividades de servicios de comidas y bebidas,893
2022,Laureles Estadio,68,Actividades inmobiliarias,792
2022,Laureles Estadio,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",700
2022,Laureles Estadio,96,Otras actividades de servicios personales,482
2022,La Candelaria,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",6046
2022,La Candelaria,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",1609
2022,La Candelaria,56,Actividades de servicios de comidas y bebidas,1520
2022,La Candelaria,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",1378
2022,La Candelaria,68,Actividades inmobiliarias,1095
2022,La America,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1147
2022,La America,56,Actividades de servicios de comidas y bebidas,314
2022,La America,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",268
2022,La America,96,Otras actividades de servicios personales,229
2022,La America,68,Actividades inmobiliarias,175
2022,Guayabal,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",959
2022,Guayabal,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",522
2022,Guayabal,56,Actividades de servicios de comidas y bebidas,367
2022,Guayabal,14,Confección de prendas de vestir,338
2022,Guayabal,68,Actividades inmobiliarias,326
2022,El Poblado,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1711
2022,El Poblado,70,Actividades de administración empresarial; actividades de consultoría de gestión,1641
2022,El Poblado,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",1059
2022,El Poblado,56,Actividades de servicios de comidas y bebidas,1027
2022,El Poblado,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",912
2022,Doce De Octubre,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",993
2022,Doce De Octubre,56,Actividades de servicios de comidas y bebidas,200
2022,Doce De Octubre,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,120
2022,Doce De Octubre,10,Elaboración de productos alimenticios,99
2022,Doce De Octubre,96,Otras actividades de servicios personales,87
2022,Castilla,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1033
2022,Castilla,56,Actividades de servicios de comidas y bebidas,351
2022,Castilla,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",181
2022,Castilla,10,Elaboración de productos alimenticios,145
2022,Castilla,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",123
2022,Buenos Aires,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1112
2022,Buenos Aires,56,Actividades de servicios de comidas y bebidas,390
2022,Buenos Aires,68,Actividades inmobiliarias,166
2022,Buenos Aires,96,Otras actividades de servicios personales,166
2022,Buenos Aires,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,160
2022,Belen,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",2336
2022,Belen,56,Actividades de servicios de comidas y bebidas,688
2022,Belen,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",572
2022,Belen,68,Actividades inmobiliarias,533
2022,Belen,96,Otras actividades de servicios personales,419
2022,Aranjuez,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1396
2022,Aranjuez,56,Actividades de servicios de comidas y bebidas,539
2022,Aranjuez,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",222
2022,Aranjuez,96,Otras actividades de servicios personales,195
2022,Aranjuez,10,Elaboración de productos alimenticios,156
2022,Altavista,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",214
2022,Altavista,56,Actividades de servicios de comidas y bebidas,72
2022,Altavista,68,Actividades inmobiliarias,70
2022,Altavista,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",61
2022,Altavista,70,Actividades de administración empresarial; actividades de consultoría de gestión,47
2021,Villa Hermosa,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",959
2021,Villa Hermosa,56,Actividades de servicios de comidas y bebidas,262
2021,Villa Hermosa,68,Actividades inmobiliarias,230
2021,Villa Hermosa,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",163
2021,Villa Hermosa,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,159
2021,Sin Georreferenciar,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",49
2021,Sin Georreferenciar,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",18
2021,Sin Georreferenciar,68,Actividades inmobiliarias,18
2021,Sin Georreferenciar,56,Actividades de servicios de comidas y bebidas,13
2021,Sin Georreferenciar,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",12
2021,Santa Elena,68,Actividades inmobiliarias,97
2021,Santa Elena,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",94
2021,Santa Elena,56,Actividades de servicios de comidas y bebidas,39
2021,Santa Elena,70,Actividades de administración empresarial; actividades de consultoría de gestión,38
2021,Santa Elena,74,"Otras actividades profesionales, científicas y técnicas",36
2021,Santa Cruz,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",606
2021,Santa Cruz,56,Actividades de servicios de comidas y bebidas,145
2021,Santa Cruz,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,74
2021,Santa Cruz,10,Elaboración de productos alimenticios,52
2021,Santa Cruz,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",51
2021,San Javier,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",742
2021,San Javier,56,Actividades de servicios de comidas y bebidas,177
2021,San Javier,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,124
2021,San Javier,10,Elaboración de productos alimenticios,81
2021,San Javier,14,Confección de prendas de vestir,79
2021,San Cristobal,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",474
2021,San Cristobal,56,Actividades de servicios de comidas y bebidas,126
2021,San Cristobal,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,75
2021,San Cristobal,96,Otras actividades de servicios personales,55
2021,San Cristobal,10,Elaboración de productos alimenticios,50
2021,San Antonio De Prado,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",596
2021,San Antonio De Prado,56,Actividades de servicios de comidas y bebidas,147
2021,San Antonio De Prado,96,Otras actividades de servicios personales,72
2021,San Antonio De Prado,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",68
2021,San Antonio De Prado,10,Elaboración de productos alimenticios,59
2021,Robledo,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",955
2021,Robledo,56,Actividades de servicios de comidas y bebidas,230
2021,Robledo,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,158
2021,Robledo,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",118
2021,Robledo,10,Elaboración de productos alimenticios,109
2021,Popular,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",549
2021,Popular,56,Actividades de servicios de comidas y bebidas,158
2021,Popular,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,70
2021,Popular,10,Elaboración de productos alimenticios,55
2021,Popular,96,Otras actividades de servicios personales,33
2021,Palmitas,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",13
2021,Palmitas,56,Actividades de servicios de comidas y bebidas,4
2021,Palmitas,25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2
2021,Palmitas,10,Elaboración de productos alimenticios,1
2021,Palmitas,13,Fabricación de productos textiles,1
2021,Manrique,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",859
2021,Manrique,56,Actividades de servicios de comidas y bebidas,204
2021,Manrique,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,114
2021,Manrique,96,Otras actividades de servicios personales,74
2021,Manrique,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",65
2021,Laureles Estadio,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1948
2021,Laureles Estadio,56,Actividades de servicios de comidas y bebidas,850
2021,Laureles Estadio,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",712
2021,Laureles Estadio,68,Actividades inmobiliarias,709
2021,Laureles Estadio,96,Otras actividades de servicios personales,413
2021,La Candelaria,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",5687
2021,La Candelaria,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",1515
2021,La Candelaria,56,Actividades de servicios de comidas y bebidas,1402
2021,La Candelaria,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",1252
2021,La Candelaria,68,Actividades inmobiliarias,905
2021,La America,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1122
2021,La America,56,Actividades de servicios de comidas y bebidas,265
2021,La America,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",235
2021,La America,96,Otras actividades de servicios personales,198
2021,La America,68,Actividades inmobiliarias,157
